FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
5091,Arkansas,Miller,71.387827371,5.4703398332,6.2734570904,82.128117914,48.929943296,27.3,12.246415767,35.0,41.8,29.0,266.41518,50421,65.336276133,39.906103286,25.842272781,0.5964870918,4.2697159024,66.403395025,10934,24.092568268,19.473741607,82.036662375,38.195664909,19.514280272,13.238916256,99.7427636672,9.3,23.9
5093,Arkansas,Mississippi,67.930831726,5.7354937668,6.7399036272,86.218323587,46.884596335,31.1,8.9944278877,37.5,46.5,14.0,144.84132,49484,59.423964632,45.638441686,35.64907017,0.5871246411,5.0668597884,56.922639216,10095,28.020328749,28.662232451,82.738443534,49.689440994,34.910454684,13.36331513,99.2126197305,8.3,24.4
5095,Arkansas,Monroe,68.808555989,5.8202360342,6.7407631004,,47.813411079,38.1,14.983969818,38.1,43.0,3.0,30.71253,40631,65.661582121,100.0,39.726658477,0.8138820639,3.2862407862,53.194103194,1372,39.843979365,,75.487761618,60.50955414,32.902608279,14.387211368,99.346092504,8.3,24.2
5097,Arkansas,Montgomery,71.904096289,5.5491490871,6.4876232379,,45.115452931,28.4,10.536505923,31.3,41.1,2.0,23.20186,48991,78.864605544,100.0,0.6612529002,1.403712297,5.0348027842,89.373549884,1689,33.936103166,,76.892324094,27.36318408,,9.9455040872,99.1316046967,7.8,21.2
5099,Arkansas,Nevada,72.730104139,5.7134727289,6.4863304982,88.052631579,46.944770858,31.0,27.36228135,35.2,44.2,2.0,86.2069,45562,65.902410347,100.0,29.815270936,0.4802955665,4.9876847291,62.487684729,1702,32.889042756,,68.636096414,36.813518407,,15.472312704,99.9095957639,8.6,23.0
5101,Arkansas,Newton,73.596637745,5.3112648501,6.5725347424,85.532407407,64.860681115,27.1,11.354713473,33.2,40.3,,42.42681,46307,72.417185963,100.0,0.509121765,0.5798331212,1.5273652949,93.155140716,1292,30.071796414,,78.451951459,40.087463557,32.049570002,15.342960289,100.0,7.2,23.4
5103,Arkansas,Ouachita,70.778616792,5.468508292,6.7160314448,90.267857143,55.172413793,25.3,18.149147084,33.4,42.5,13.0,178.95655000000002,49690,71.210710128,56.410596026,39.654935071,0.536869637,2.7485889965,54.416555775,4988,28.311873754,16.290986641,80.232828871,35.96187175,14.84586499,12.147380541,99.8814997393,8.4,20.9
5105,Arkansas,Perry,74.088937256,5.2534203468,6.6606868381,93.504098361,57.556406982,20.9,5.3058965635,30.2,40.2,2.0,,57996,77.369791667,100.0,2.3173605656,0.3436763551,3.8197172035,90.406520031,2349,29.312823662,,79.609375,25.568181818,,8.8471849866,99.759941551,8.3,20.4
5107,Arkansas,Phillips,67.37627668,6.0626411715,6.7988218786,80.5,51.054351054,45.2,18.935657668,41.6,50.5,10.0,73.5245,37338,53.956950963,48.098744568,61.954414812,0.7887173317,2.1923668204,33.400173785,3367,32.822667334,,79.203754653,62.146892655,79.459203036,16.706254949,99.993249173,8.5,24.9
5109,Arkansas,Pike,71.555985239,5.3342740108,6.3802968584,95.735294118,57.745266781,27.2,9.3728349573,31.9,40.9,4.0,48.981190000000005,53108,75.873786408,100.0,3.5364420063,0.8914576803,8.1700626959,84.923589342,2324,18.960683668,,77.766990291,33.958891868,19.128139406,9.4059405941,98.5781006746,8.4,21.2
5111,Arkansas,Poinsett,68.664015957,5.9085371532,7.0117749484,88.81533101,45.911127707,27.1,10.325657892,36.7,42.0,2.0,272.35791,51635,63.669582549,68.504245591,8.4743492432,0.3929097647,3.8174755548,84.600616154,5356,28.638105742,29.223530787,79.603587643,41.544763019,22.425392444,11.790878754,99.826307389,8.5,26.9
5113,Arkansas,Polk,72.172341924,5.300143347,6.5735550129,93.070175439,58.258258258,26.2,16.946320931,32.2,39.3,15.0,108.04692,47766,82.153729072,71.208573956,0.6482815394,1.0187281334,7.1208067504,86.694793167,3996,31.722914759,17.124167337,78.627600203,32.317212927,23.371608576,14.608920491,99.0608790609,7.2,21.8
5115,Arkansas,Pope,75.143608763,5.2575256047,6.3660140121,90.501358696,54.218838482,16.0,9.3706147103,28.5,37.7,41.0,246.1567,59016,71.233331949,55.885833294,3.0839255028,1.2571021628,11.462542381,81.450002322,15893,12.950070779,14.048743938,83.275869231,21.926525889,16.236807594,12.314953873,98.1544771018,8.3,19.2
5117,Arkansas,Prairie,72.792878666,5.2652669186,6.2306286863,,62.354988399,22.4,2.1533284376,34.3,41.1,1.0,24.888,54962,76.050291322,100.0,10.340965655,0.2239920358,2.5136884022,84.980089597,1724,,,72.431769396,29.645697758,,6.4992614476,99.3709076903,8.4,24.3
5119,Arkansas,Pulaski,73.800449453,4.6700011494,6.3754230841,78.799069561,69.103250705,23.7,12.881455409,26.7,39.2,469.0,527.48813,61344,57.748756292,11.361603508,37.905647123,2.3694466874,8.3355624498,48.927649128,109607,17.706209448,32.270371933,87.558792113,26.503580395,27.803986454,16.369652995,98.1656777813,9.6,16.7
5121,Arkansas,Randolph,72.056322244,5.7724270402,6.739352566,89.326923077,51.045373665,23.6,9.379769487,33.8,38.1,10.0,116.35902,51480,73.228680526,61.423725163,1.2587930396,0.5130374993,2.7820383985,89.733960967,4496,37.836985653,,76.877386508,36.199095023,20.684774917,11.126468556,99.5208487822,7.9,23.2
5123,Arkansas,St. Francis,70.423376274,5.9714363269,6.5468891302,89.522058824,43.866171004,45.6,19.296337932,40.7,47.3,13.0,371.02394,41708,55.234107347,62.940666955,53.327903715,0.6198814533,3.9545721913,39.649789602,6456,25.517453358,17.174261507,81.169902297,62.598513848,33.248825901,16.574585635,98.9695550351,8.5,26.5
5125,Arkansas,Saline,75.546619276,4.3856713039,5.7761068713,92.336940299,67.380037803,12.1,7.6862535531,25.0,37.2,49.0,162.06955000000002,77844,76.438323015,36.761846114,9.8754379737,1.4532236405,7.4251007146,79.107691358,32802,14.794243525,24.697390575,87.803746799,17.745342808,20.147771818,10.06951759,98.9502506424,8.9,15.0
5127,Arkansas,Scott,68.316613203,5.4063029798,6.3608523624,89.875,51.989026063,26.6,20.810097776,32.4,38.8,2.0,40.60501,46026,73.898650369,100.0,1.0861841437,2.822048523,8.0905491828,83.280885189,2187,40.780166777,,75.019098549,54.753608761,19.844813558,12.055837563,98.264409685,7.7,22.4
5129,Arkansas,Searcy,73.620086054,5.8240308262,6.8887432019,87.588495575,47.834776815,28.1,14.640397097,35.6,42.0,2.0,217.78119,40688,75.131061599,100.0,0.6917755573,0.409941071,2.2546758903,92.800409941,1501,30.694785498,,74.836173001,32.190342897,32.928898908,9.4435075885,99.8122317597,7.3,25.1
5131,Arkansas,Sebastian,73.458914584,5.3229835399,6.6273341961,90.347347995,59.47734139,17.7,5.4921140061,33.3,38.5,168.0,391.9503,58112,61.215376027,19.674645342,6.6097073541,4.6460828208,16.361213961,66.88484717,33100,14.946532683,24.412477373,83.790494889,29.587235519,15.765755219,13.511679752,96.6666666667,9.0,19.1
5133,Arkansas,Sevier,72.191816267,5.6962558351,6.2660147281,96.975609756,36.302294197,24.3,13.395401558,34.4,40.2,7.0,63.97134,52845,65.297525013,62.788054801,3.8382804504,0.6780962129,35.779170931,53.940634596,3705,36.10046243,,78.672985782,35.562233909,15.79260663,15.090909091,90.835892187,9.0,19.4
5135,Arkansas,Sharp,73.007976712,5.5348886128,6.5569772854,97.5,47.851168157,25.4,17.99477855,35.8,38.6,4.0,200.35619,45258,79.559471366,100.0,1.2243989314,0.5454140695,2.6046304541,92.520035619,3467,35.184185118,28.378991978,74.140969163,35.883748517,21.673663077,13.888888889,99.9580033597,7.6,25.0
5137,Arkansas,Stone,74.050907845,5.9009655858,6.6571282541,92.5,51.666666667,26.3,10.840695297,33.5,42.0,6.0,173.62481,43767,75.554212011,100.0,0.6313629548,0.4971983269,2.3123668219,93.686370452,2400,21.647734394,,70.334542523,35.178035178,39.876860256,15.598290598,100.0,7.5,23.6
5139,Arkansas,Union,70.39071074,5.0468985205,6.3105835532,89.972972973,52.25877193,24.0,12.2015618,31.3,40.3,24.0,197.87684,49664,72.932231405,52.1227019,32.358210552,0.9385779608,4.8827446052,59.820306442,9120,24.313422114,24.494580574,81.355371901,39.27680798,29.148600607,16.227180527,99.3071145478,8.5,18.2
5141,Arkansas,Van Buren,73.925062181,5.8431349707,6.9064845289,92.717391304,38.75994695,23.8,6.7285462684,34.9,41.4,4.0,92.92529,50332,78.018271258,100.0,0.7619873622,0.5699417668,3.5001858506,92.324371206,3016,31.408405238,,79.325368939,29.28734136,19.635515739,11.726618705,99.5730425644,7.9,24.3
5143,Arkansas,Washington,76.840833306,5.0247127052,5.8729019911,88.493222892,64.265259772,13.5,5.3029342646,28.4,35.3,200.0,429.36505,66158,55.561607676,24.001203883,3.7056153914,2.6729217087,18.708922611,68.153577341,70889,13.467653899,11.21005916,89.062189029,20.730375819,10.526530529,15.558962006,95.2001831409,6.9,17.2
5145,Arkansas,White,72.758194102,5.1314437709,6.3123229222,88.174175824,50.224767205,19.6,9.1191117324,34.2,38.2,51.0,237.08765,56178,68.236310244,55.913670563,4.574771835,0.8374547494,5.0757150869,86.73201448,18686,22.932022932,21.823690258,85.583002246,25.261655566,17.63934443,11.171328671,99.5616258202,8.5,21.6
5147,Arkansas,Woodruff,73.185381974,5.6223148524,6.527607746,,40.293890178,34.8,3.227311218,35.9,41.3,2.0,67.06908,43259,65.746458409,100.0,24.765258216,0.3353454058,2.1294433266,69.902749832,1293,22.496681739,,62.368325463,49.019607843,,10.626185958,99.6718480138,8.2,24.4
5149,Arkansas,Yell,73.910261727,5.8334840314,6.6213958284,88.511705686,42.95273944,23.0,7.7791137584,35.2,39.9,12.0,59.86829,51997,67.515211722,80.703745743,1.801037717,1.7860706446,21.098583117,73.213929355,4782,23.742334618,,78.020613436,34.865983874,12.459148369,13.660477454,94.5526524149,8.2,21.2
