FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
47043,Tennessee,Dickson,73.097891592,4.8020214493,6.6783593484,94.0,59.413037598,13.6,3.9065369585,27.2,39.5,17.0,121.63091,74028,80.281623364,69.54248366,3.8710359781,0.7244971708,5.1966366409,87.755821537,14788,19.849356616,64.075827092,85.01801631,24.961423255,19.059976615,9.9160945843,99.6130597159,7.2,20.2
47045,Tennessee,Dyer,69.934742733,5.1305335661,6.599986036,97.185851319,53.158362989,23.9,14.911284396,32.0,43.3,12.0,82.19628,57548,62.38242408,54.376239776,15.187133542,0.6986684202,4.137212998,77.543975012,8992,24.675364733,20.05140451,87.221177103,33.714854441,24.973262322,11.493860846,99.4282231381,6.2,24.7
47047,Tennessee,Fayette,75.204135394,4.5915597257,6.1734210442,87.5,62.613695766,18.5,4.8527019617,24.5,37.5,13.0,31.69213,76680,80.747160789,74.686830198,27.477079796,0.948500283,3.9660441426,66.211658178,9565,20.04506684,32.010743118,88.798565451,17.992289019,22.88744147,9.7614563716,99.0290783637,8.4,16.8
47049,Tennessee,Fentress,70.057984243,5.6690168633,6.9212276463,97.5,53.046776233,26.6,0.1175137123,32.4,40.8,6.0,40.61738,47860,80.560602128,100.0,0.5838748985,0.5991064175,2.3456539399,94.978675873,3955,24.638506906,49.149537468,83.480404879,29.207232267,24.544067272,8.9993284083,99.9051445151,6.7,26.4
47051,Tennessee,Franklin,73.77983791,5.0773208767,6.6211835427,93.0,50.42088439,19.1,6.3925585485,29.4,41.0,24.0,62.704350000000005,64243,76.381821372,67.903399261,4.7185022618,0.9495229991,3.8160075245,87.922694495,9385,16.829803563,24.683358788,78.861788618,19.624255952,23.392907271,11.75220164,99.6076151722,7.1,23.1
47053,Tennessee,Gibson,70.322111207,5.3233103514,6.6468107682,95.582064298,53.733905579,19.2,10.612471145,30.8,41.1,20.0,39.18111,57630,66.782764454,70.774752622,17.470859046,0.554412773,3.6007444412,76.013321579,12815,25.343651271,27.900117579,86.391680764,25.36101083,20.103331122,10.445073321,99.2922398404,7.2,22.5
47055,Tennessee,Giles,71.578770066,5.1142510971,6.6128506872,86.0,51.47779593,21.9,4.8451695056,30.7,41.5,11.0,65.10205,60422,73.988044406,73.11672049,9.5341948504,0.5077959702,3.1151329709,83.984896325,6733,29.764619469,30.8962108,82.561912895,22.310513447,20.054414311,10.706450197,99.648267456,6.9,23.2
47057,Tennessee,Grainger,71.337687188,5.4853455142,6.7415327437,92.0,50.289449113,21.7,,32.9,40.5,3.0,20.2585,57132,78.664018398,84.430654142,1.0412868198,0.3038774766,3.7113569142,93.351160812,5355,30.434729679,64.24132393,77.033242735,30.350719424,21.173879902,12.252541466,99.1234221599,7.7,25.7
47059,Tennessee,Greene,71.985636846,5.5172941477,6.9135189227,95.714798851,47.666501609,19.8,11.135751498,32.2,42.0,37.0,115.73915,54188,75.908589328,67.329513057,2.2803367458,0.5966077407,4.013668242,91.304407732,16156,24.426490632,44.896666777,77.560246325,26.174730247,17.440879707,10.083727703,99.6290877924,6.9,23.4
47061,Tennessee,Grundy,69.66893117,5.5431859715,6.7492257337,92.5,41.122674235,26.9,3.7450745722,29.7,38.5,,57.32712000000001,41370,83.21582452,100.0,1.2826943748,0.6019347904,2.020781082,93.780007166,3171,28.597756665,61.139642944,82.530356443,46.324655436,31.036164521,10.031023785,99.8444548141,6.8,23.0
