FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%)
51037,Virginia,Charlotte,71.744410134,4.9248732107,6.3384107088,92.5,60.008646779,32.2,14.603320272,29.7,42.2,6.0,79.39308,50878.0,71.131789656,100.0,25.829216655,0.2822865208,2.8669724771,68.957304164,2313.0,44.681133693,57.565552773,72.668253625,23.427331887,17.07621113,14.223669924,99.8894314936,6.9,21.2
51041,Virginia,Chesterfield,77.793324905,3.7492635965,5.3814330796,89.0,73.090304663,8.5,8.1912144057,19.7,34.5,299.0,267.27381,99401.0,77.303716897,8.0310411798,24.441746814,3.9387718951,12.15574821,56.677677167,96861.0,10.034893331,30.884795199,93.901281789,9.8322796026,14.761991907,11.480776551,96.7795087735,5.6,11.7
51043,Virginia,Clarke,77.277988744,3.6815306417,5.5221348552,97.5,70.04008016,7.9,0.0596539545,20.2,36.5,5.0,90.52114,101205.0,82.073969209,100.0,3.9764645028,1.6358463727,8.3796715376,83.357041252,2994.0,24.320722228,29.037950367,89.647849938,9.154040404,,14.411247803,98.3594126973,6.8,14.3
51045,Virginia,Craig,73.843315992,4.3417396188,6.1167990554,,47.555555556,19.0,3.6064907536,25.1,37.9,2.0,,61531.0,83.047945205,100.0,0.4955606029,0.5368573198,1.4866818088,95.952921743,900.0,,,87.842465753,20.994475138,,10.309278351,99.668288368,6.3,20.2
51047,Virginia,Culpeper,77.014031672,4.0235069418,5.8532636551,81.0,58.066936815,11.9,2.8807513674,24.2,38.6,18.0,214.65083,90465.0,74.515712441,57.065382859,12.620741091,2.0228111982,15.855056118,66.257981191,13326.0,15.515481456,36.522105159,90.631726216,20.942838371,13.909251532,13.990955342,96.1610486891,6.9,17.2
51049,Virginia,Cumberland,76.567585126,4.315366053,5.7300929988,87.5,61.964735516,22.0,19.47060147,24.8,39.4,3.0,70.86455,55713.0,75.449101796,93.302325581,28.82162381,0.607410407,3.0674225552,64.517108726,2382.0,21.877370048,34.059945504,78.874251497,13.616557734,24.439420786,10.651629073,100.0,6.7,17.7
51051,Virginia,Dickenson,71.912071586,5.5447210704,6.8955835593,82.5,50.957613815,23.2,,27.7,39.2,3.0,87.97654,48157.0,74.60206402,100.0,0.6964809384,0.219941349,0.784457478,97.302052786,3185.0,20.962058674,64.919451791,77.068392514,22.485207101,29.816416067,11.031390135,99.9849612753,6.7,21.6
51053,Virginia,Dinwiddie,74.661648743,4.2060535242,5.7608882334,86.0,61.088474971,17.2,8.2452574529,24.9,39.7,4.0,24.69746,83334.0,78.248777213,71.664221562,30.194404262,0.9596725823,4.5443319338,61.856543062,6872.0,18.164754322,33.034060476,84.73194591,9.8089829633,20.446437385,11.392405063,98.5308411215,7.0,18.5
51057,Virginia,Essex,73.041388168,4.949886314,6.2312717827,87.5,42.972844212,20.8,16.577254667,29.1,42.3,4.0,66.0502,62679.0,68.949044586,100.0,35.799207398,0.9530100019,5.0481222872,54.463106246,2099.0,30.196011501,49.772911093,78.161965423,18.41868823,20.36358251,18.488372093,98.7516100268,6.2,20.6
51059,Virginia,Fairfax,84.536552014,3.3215444077,4.7318759842,91.0,83.843609023,7.3,1.5694088143,16.6,34.6,1269.0,274.46014,141353.0,68.346083851,1.5417596489,10.251970876,20.768418342,17.68560214,47.711489318,315875.0,4.3547105116,10.528163859,96.25481325,7.6176088904,5.2032179633,14.390408026,94.0861893401,7.9,8.3
51061,Virginia,Fauquier,79.045083386,3.6107564089,5.495039855,92.0,66.539338655,6.6,1.1543856113,17.2,32.4,33.0,134.37105,111254.0,78.131424655,57.456284602,7.0019290893,1.9636799042,13.234883257,74.867291958,17540.0,13.99241611,23.198689956,91.117794868,7.7653149267,11.334201367,11.60188457,97.416117006,7.1,12.8
